"filename", "language", "JSON", "JavaScript", "Properties", "XML", "Markdown", "Less", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/ldl/Desktop/lunwen/code/front/src/components/province.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"/Users/ldl/Desktop/lunwen/code/front/src/e2e/__mocks__/antd-pro-merge-less.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/ldl/Desktop/lunwen/code/front/src/e2e/baseLayout.e2e.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/ldl/Desktop/lunwen/code/front/src/global.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 85, 0, 4, 14, 103
"/Users/ldl/Desktop/lunwen/code/front/src/global.less", "Less", 0, 0, 0, 0, 0, 45, 0, 0, 1, 9, 55
"/Users/ldl/Desktop/lunwen/code/front/src/layouts/BasicLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 111, 0, 32, 10, 153
"/Users/ldl/Desktop/lunwen/code/front/src/layouts/BlankLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"/Users/ldl/Desktop/lunwen/code/front/src/layouts/SecurityLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 39, 0, 1, 10, 50
"/Users/ldl/Desktop/lunwen/code/front/src/layouts/UserLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 4, 60
"/Users/ldl/Desktop/lunwen/code/front/src/layouts/UserLayout.less", "Less", 0, 0, 0, 0, 0, 61, 0, 0, 0, 11, 72
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/component.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/globalHeader.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/menu.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/pwa.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/settingDrawer.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/ldl/Desktop/lunwen/code/front/src/locales/en-US/settings.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/component.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/globalHeader.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/menu.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/pwa.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/settingDrawer.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/ldl/Desktop/lunwen/code/front/src/locales/pt-BR/settings.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/component.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/globalHeader.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/menu.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/pwa.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/settingDrawer.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-CN/settings.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-TW.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/ldl/Desktop/lunwen/code/front/src/locales/zh-TW/component.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
